# linux cli commands,category,description
# categories:
# 0: undefined at present

lscpu;1;détails sur archi CPU
lsusb;1;liste périphs USB
lsblk;1;liste périphs stockage "bloc"
lsdev;1;infos générales sur _hardware_
lsof;1;_list open files_
ss;1;_list sockets_
lspci;1;_list all PCI devices_
lstopo;1;
sudo;1;exécution d'une commande admin
su;1;changement temp. d'utilisateur
top;1;_dashboard_ système général;htop
htop;1;top en mieux;top
shutdown;1;;reboot
reboot;1;;shutdown

ps;12;snapshot des process;top
pidof;12; donne le PID d'un process;ps
kill;12;stoppe un process par PID;pkill
pkill;12;stoppe un process par nom;kill
killall;12;stoppe tous les process par nom

fmt;7;text formatter

fdisk;2;
df;2;_disk free_
du;2;_disk usage_

find;5;search for files, folders, ...
convert;7;conversion format d'image
fc-list;7;_list available fonts_

git;6;
make;6;compilation
gcc;6;compilation C
g++;6;compilation C++

pango-view;7;_convert text to image_
history;4;historique des commandes
lsb_release;4;version distrib.;uname
uname;4;version noyau;lsb_release

cp;11;copie fichier(s);mv
mv;11;déplacement/renommage;cp
mkdir;11;_make directory_
rm;11;suppression fichier;rmdir
rmdir;11;supression dossier;rm
ln;11;création de lien, symbolique ou _hardlink_
ls;11;
cd;11;_Change Directory_;pushd
pushd;11;chgt dossier courant avec sauvegarde;popd
popd;11;récupération dossier courant;popd

whoami;4;qui suis-je?
who;4;qui est loggé?
pwd;4;_print working directory_
locate;4;localise un programme dans le système;which
man;4;Manuel
grep;4;
wc;4;_word count_
cat;4;affiche et/ou concatene un/des fichiers
tac;4;affiche ordre inversé;cat
more;4;filtre d'affichage;less
less;4;filtre d'affichage;more
bat;4;cat en mieux;cat,tail

file;5;nature d'un fichier
touch;5;création ou MAJ date d'un fichier
zip;5;compression zip;unzip
unzip;5;décompression zip;zip
tar;5;utilitaire archivage

stat;5;
head;5;premières lignes texte;tail
tail;5;dernières lignes texte;head
sort;5;tri de texte
chmod;5;chgt permissions fichier
chown;5;chgt propriétaire fichier
chgrp;5;chgt groupe propriétaire fichier
umask;5;permissions par défaut;chmod

time;7;chronométrage de tâche
jobs;7;
watch;7;
env;7;liste var. environnement
last;historique des logins & boots
hostname;3;nom de la machine
ip;3;
ping;3;
wget;3;client http;curl
curl;3;client multiprotocoles (wget en mieux)
dig;3;requete DNS
netcat;3;utilitaire TCP/UDP
nc;3;alias pour netcat
ssh;3;
ufw;3; pilote CLI de Firewall 
nmap;3;exploration réseau
whois;3;infos/domaine
nslookup (_deprecated_);3;outil DNS;dig
traceroute;3;
netstat;3;infos/reseau, routage, etc.

echo;4;affichage de texte/variable
alias;4;composition de commandes

apt;10;Gestion paquets Debian
apt-get;10;Gestion paquets Debian (bas niveau)
yum;10;Gestion paquets RedHat
rpm;10;Gestion paquets Fedora
dpkg;10;Utilitaire paquets .deb

nano;7;éditeur "console"
xargs;7;
tee;7;
clear;7;Effacement terminal
uptime;7;durée fonctionnement système

awk;8;_pattern scanning and processing language_
tr;8;_translate or delete characters_
sed;8; _Stream EDitor_
cut;8;suppression de texte dans des lignes
paste;8;fusion de lignes de texte de plusieurs fichiers
uniq;8;suppression lignes identiques

passwd;9;
usermod;9;modification compte utilisateur
adduser;9;Création utilisateur
useradd;9;Création utilisateur (bas niveau!);adduser
id;9;Affiche les infos sur un utilisateur
groups;9;Affiche les groupes existants

which;7;localisation (chemin) d'un programme
type;7;indique si une commande est interne (_builtin_) ou externe
